助詞種類,単語,東京弁アクセント,大阪弁アクセント
格助詞,が,*,*
格助詞,の,*,*
格助詞,を,*,*
格助詞,に,*,*
格助詞,へ,*,*
格助詞,と,*,*
格助詞,より,* L,L L
格助詞,から,* *,**
格助詞,で,*,*
並列助詞,と,*,*
並列助詞,や,*,L
並列助詞,し,L,L
並列助詞,やら,* L,L L
並列助詞,か,*,L
並列助詞,なり,* L,L L
並列助詞,だの,* L,L L
並列助詞,とか,* L,L L
並列助詞,も,*,L
副助詞,ばかり,H L L,L H L
副助詞,まで,* L,L L
副助詞,だけ,* *,* *
副助詞,さえ,H L,* L
副助詞,ほど,* *,* *
副助詞,くらい,* * *,* * *
副助詞,など,* L,L L
副助詞,なんか,* L L,L L L
副助詞,なんて,* L L,L L L
副助詞,なり,* L,L L
副助詞,やら,* L,L L
副助詞,か,*,L
副助詞,ぞ,*,L
副助詞,し,L,L
副助詞,ずつ,* L,H L
副助詞,のみ,* L,H L
副助詞,きり,H H,H H
副助詞,すら,* L,H L
係助詞,は,*,*
係助詞,も,*,L
係助詞,こそ,* L,* L
係助詞,でも,* L,* L
係助詞,しか,* L,* L
係助詞,だって,* L L,L L L
接続助詞,ば,L,L
接続助詞,と,L,L
接続助詞,ても,L L,L L
接続助詞,でも,L L,L L
接続助詞,けれど,* L L,* L L
接続助詞,が,* L L,* L L
接続助詞,とも,* L,L L
接続助詞,ど,L,L
接続助詞,ども,* L,* *
接続助詞,が,L,L
接続助詞,を,L,L
接続助詞,に,L,L
接続助詞,て,*,*
接続助詞,で,*,*
接続助詞,なり,*,*
接続助詞,ながら,H L L,H H H
接続助詞,たり,* L,L L
接続助詞,つつ,H L,H L
接続助詞,ところで,L H H L,H H L L
接続助詞,まま,L H,H H
接続助詞,ものの,L H H,H H H
接続助詞,ものの,L H H,H H H
副詞化,に,L,L
